date,flow,power,sludge_wet,sludge_moisture,chemical,pac,pam,mlss,power_rate,chemical_rate,ss_in,ss_out,bod_in,bod_out,cod_in,cod_out,cod_reduction,ph_in,ph_out,tn_in,tn_out,tp_in,tp_out,nh3_in,nh3_out,nh3_reduction,color_in,color_out,carbon,month,month_sin,month_cos,doy_sin,doy_cos,dow_sin,dow_cos
2024-03-21,31005.4,9311.383600459998,15.358,75.0,58.3,1470.0,41.7,4153.4,3.8,147.3,5.0,83.98,3.06,177.9,7.88,5245.046620000001,7.292,26.772000000000002,6.976000000000001,1.828,0.272,16.102,0.084,496.181812,512.0,0.8587,0.25788040463,1.54,0.3395677161675141,3,1.0,6.123233995736766e-17,0.9773637983269392,0.2101625469143627,0.2817623302598763,0.22469796037174666
2024-03-22,31192.8,9367.66261272,18.75,75.0,71.2,1475.0,42.0,4145.6,3.8,142.9,5.1,75.68,3.12,162.12,8.059999999999999,4785.730420000001,7.2780000000000005,26.768,6.756,1.8700000000000003,0.28200000000000003,15.728,0.09,487.53574,512.0,0.8587,0.25788040463,1.54,0.339989480701443,3,1.0,6.123233995736766e-17,0.9808343163916821,0.19331925458695323,0.35135187892997066,-0.08019377358048381
2024-03-23,30136.2,9050.34988938,18.638,75.0,70.8,1425.0,40.6,4120.0,3.8,145.4,4.9,84.4,3.08,184.2,7.9,5271.7629,7.279999999999999,27.378000000000004,6.2,1.966,0.28200000000000003,16.218,0.09,485.21935199999996,512.0,0.8587,0.25788040463,1.54,0.3401170978608561,3,1.0,6.123233995736766e-17,0.9840145898020978,0.1764187559819037,0.15636629649360598,-0.3246979603717467
2024-03-24,29707.4,8921.574860260002,17.976,75.0,68.4,1405.0,39.8,4096.6,3.8,149.9,4.7,83.61999999999999,3.2399999999999998,183.5,7.76,5169.89234,7.292,26.660000000000004,5.916,1.9260000000000002,0.27,15.790000000000001,0.1,465.288716,512.0,0.8587,0.25788040463,1.54,0.3400532261600878,3,1.0,6.123233995736766e-17,0.9869036774641188,0.1594660522286543,-0.15636629649360595,-0.32469796037174675
2024-03-25,30589.0,9186.3324761,21.48,75.0,81.7024,1445.0,41.1,4125.6,3.8,150.1,4.2,77.32000000000001,3.08,169.8,7.4,4884.1188,7.308,26.144,5.564,1.8240000000000003,0.254,15.425999999999998,0.10800000000000001,466.786496,512.0,0.8587,0.25788040463,1.54,0.34054678238337016,3,1.0,6.123233995736766e-17,0.9895007244502247,0.14246615990498832,-0.35135187892997066,-0.08019377358048389
2024-03-26,30496.0,9158.4031904,22.932,75.0,87.1024,1445.0,41.1,4135.4,3.8,150.0,3.9,80.53999999999999,3.0200000000000005,175.68,7.2,5058.58058,7.294,26.310000000000002,5.45,1.7879999999999998,0.246,15.484,0.11200000000000002,466.98877999999996,512.0,0.8587,0.25788040463,1.54,0.34106289211294916,3,1.0,6.123233995736766e-17,0.9918049622524301,0.12542410955254638,-0.2817623302598763,0.22469796037174664
2024-03-27,30029.2,9018.21619508,23.491999999999997,75.0,89.3024,1425.0,40.5,4107.4,3.8,153.3,3.7,90.16,2.88,195.54000000000002,6.8,5583.540080000001,7.302,26.75,5.1,1.7600000000000002,0.22800000000000004,15.963999999999999,0.11200000000000002,473.7146839999999,512.0,0.8587,0.25788040463,1.54,0.3413751983276631,3,1.0,6.123233995736766e-17,0.9938157090096974,0.10834494418820795,-4.4408920985006264e-17,0.3603875471609676
2024-03-28,30522.4,9166.33150376,25.848000000000003,75.0,98.2972,1445.0,41.1,4173.2,3.8,149.3,3.6,87.48,2.82,188.45999999999998,6.6,5489.95848,7.287999999999999,26.028000000000002,4.804,1.738,0.21200000000000002,15.722000000000003,0.098,475.461704,512.0,0.8587,0.25788040463,1.54,0.34158171292329687,3,1.0,6.123233995736766e-17,0.9955323697097114,0.09123371781178172,0.2817623302598763,0.22469796037174666
2024-03-29,30380.2,9123.626724979998,26.166000000000004,75.0,99.49719999999999,1440.0,40.9,4152.8,3.8,144.0,3.6,85.32000000000001,2.7199999999999998,186.48,6.2,5416.62436,7.256,26.182,4.617999999999999,1.7419999999999998,0.20400000000000001,16.214,0.098,487.585988,512.0,0.8587,0.25788040463,1.54,0.34176075226351915,3,1.0,6.123233995736766e-17,0.9969544363649527,0.07409549391044556,0.35135187892997066,-0.08019377358048381
2024-03-30,28798.6,8648.648679139998,22.556,75.0,85.7948,1370.0,38.7,4153.6,3.8,145.8,3.6,90.97999999999999,2.7,199.8,6.04,5576.43248,7.266,26.137999999999998,4.764,1.832,0.21600000000000003,16.518,0.09,473.41338800000005,512.0,0.8587,0.25788040463,1.54,0.3414812430256504,3,1.0,6.123233995736766e-17,0.998081488163019,0.05693534396037945,0.15636629649360598,-0.3246979603717467
